#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
YA|MC16|01|BHE|27.1824|103.633003|1952.0|0.0|90.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-11T06:33:00|2004-12-30T23:59:59
YA|MC16|01|BHN|27.1824|103.633003|1952.0|0.0|0.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-11T06:33:00|2004-12-30T23:59:59
YA|MC16|01|BHZ|27.1824|103.633003|1952.0|0.0|0.0|-90.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-11T06:33:00|2004-12-30T23:59:59
YA|MC17|01|BHE|26.4706|101.743698|1153.0|0.0|90.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-08T08:10:00|2004-12-30T23:59:59
YA|MC17|01|BHN|26.4706|101.743698|1153.0|0.0|0.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-08T08:10:00|2004-12-30T23:59:59
YA|MC17|01|BHZ|26.4706|101.743698|1153.0|0.0|0.0|-90.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-08T08:10:00|2004-12-30T23:59:59
YA|MC18|01|BHE|26.059799|103.196701|1346.0|0.0|90.0|0.0|Guralp CMG3ESP/Reftek 130 Datalogger|1258650000.0|2.0|M/S|40.0|2003-10-09T10:18:55|2004-12-30T23:59:59
YA|MC18|01|BHN|26.059799|103.196701|1346.0|0.0|0.0|0.0|Guralp CMG3ESP/Reftek 130 Datalogger|1258650000.0|2.0|M/S|40.0|2003-10-09T10:18:55|2004-12-30T23:59:59
YA|MC18|01|BHZ|26.059799|103.196701|1346.0|0.0|0.0|-90.0|Guralp CMG3ESP/Reftek 130 Datalogger|1258650000.0|2.0|M/S|40.0|2003-10-09T10:18:55|2004-12-30T23:59:59
YA|MC19|01|BHE|25.729099|101.8964|1173.0|0.0|90.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-04T08:44:00|2004-12-30T23:59:59
YA|MC19|01|BHN|25.729099|101.8964|1173.0|0.0|0.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-04T08:44:00|2004-12-30T23:59:59
YA|MC19|01|BHZ|25.729099|101.8964|1173.0|0.0|0.0|-90.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-04T08:44:00|2004-12-30T23:59:59
YA|MC20|01|BHE|25.778|100.609001|1562.0|0.0|270.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-29T04:53:00|2004-12-30T23:59:59
YA|MC20|01|BHN|25.778|100.609001|1562.0|0.0|0.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-29T04:53:00|2004-12-30T23:59:59
YA|MC20|01|BHZ|25.778|100.609001|1562.0|0.0|0.0|-90.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-29T04:53:00|2004-12-30T23:59:59
YA|MC21|01|BHE|25.4876|99.643303|2476.0|0.0|90.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-28T05:14:03|2004-03-22T04:19:59
