#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
JP|JMM||BHZ|37.868999|140.789673|100.0|0.0|0.0|-90.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-09-24T00:00:00|
JP|JMN||BHE|33.731499|133.876328|550.0|0.0|90.0|0.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-09-26T00:00:00|
JP|JMN||BHN|33.731499|133.876328|550.0|0.0|0.0|0.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-09-26T00:00:00|
JP|JMN||BHZ|33.731499|133.876328|550.0|0.0|0.0|-90.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-09-26T00:00:00|
JP|JMZ||BHE|25.81983|131.223663|50.0|0.0|90.0|0.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-10-24T00:00:00|
JP|JMZ||BHN|25.81983|131.223663|50.0|0.0|0.0|0.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-10-24T00:00:00|
JP|JMZ||BHZ|25.81983|131.223663|50.0|0.0|0.0|-90.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-10-24T00:00:00|
JP|JNU||BHE|33.125|130.876694|540.0|0.0|90.0|0.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-10-16T00:00:00|
JP|JNU||BHN|33.125|130.876694|540.0|0.0|0.0|0.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-10-16T00:00:00|
JP|JNU||BHZ|33.125|130.876694|540.0|0.0|0.0|-90.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-10-16T00:00:00|
JP|JOW||BHE|26.836|128.272507|220.0|0.0|90.0|0.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-10-06T00:00:00|
JP|JOW||BHN|26.836|128.272507|220.0|0.0|0.0|0.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-10-06T00:00:00|
JP|JOW||BHZ|26.836|128.272507|220.0|0.0|0.0|-90.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-10-06T00:00:00|
JP|JSD||BHE|38.040001|138.257172|146.0|0.0|90.0|0.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-09-29T00:00:00|
JP|JSD||BHN|38.040001|138.257172|146.0|0.0|0.0|0.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-09-29T00:00:00|
JP|JSD||BHZ|38.040001|138.257172|146.0|0.0|0.0|-90.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-09-29T00:00:00|
JP|JSG||BHE|34.67767|138.182999|107.0|0.0|90.0|0.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-09-25T00:00:00|
JP|JSG||BHN|34.67767|138.182999|107.0|0.0|0.0|0.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-09-25T00:00:00|
JP|JSG||BHZ|34.67767|138.182999|107.0|0.0|0.0|-90.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-09-25T00:00:00|
JP|JSU||BHE|31.509331|130.452667|400.0|0.0|90.0|0.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-09-18T00:00:00|
JP|JSU||BHN|31.509331|130.452667|400.0|0.0|0.0|0.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-09-18T00:00:00|
JP|JSU||BHZ|31.509331|130.452667|400.0|0.0|0.0|-90.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-09-18T00:00:00|
JP|JTM||BHE|40.789501|141.064667|130.0|0.0|90.0|0.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-10-06T00:00:00|
JP|JTM||BHN|40.789501|141.064667|130.0|0.0|0.0|0.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-10-06T00:00:00|
JP|JTM||BHZ|40.789501|141.064667|130.0|0.0|0.0|-90.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-10-06T00:00:00|
JP|JTU||BHE|34.5275|129.396332|70.0|0.0|90.0|0.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-09-26T00:00:00|
JP|JTU||BHN|34.5275|129.396301|70.0|0.0|0.0|0.0|Streckeisen STS-2|1000000000.0|8.0|M/S|20.0|1996-09-26T00:00:00|
